Consult Allah & Others,استخارة و استشارة,"To consult Allah through Istikhara prayer, and seek counsel from relevant people"
Seek Beneficial Knowledge,طلب العلم,"To commit ro lifelong learning, seeking beneficial knowledge as an act of worship"
Making Dua,دعاء الله,To make dua and ask Allah for help in your daily affairs (big or small)
Tying ties of kinship,صلة الرحم,To exert sincere effor to remain in touch with your relatives
Eating with people ,مشاركة الطعام مع الناس,To seek the blessing of eating and sharing your meals with people and never eat alone
Remembrance of Allah,ذكر الله,To remember Allah daily and in all prescribed timings/situations
Reconciliation,الاصلاح,To work on making thins things right between people who are in disagreement
Tawbah & Constant Returning to Allah,التوبة و الانابة,To come back humbly to Allah and repent regularly for our sins
Praiseworthy Planning,التخطيط المحمود,To link good intentions to your plans and have complete trust in Allah in the results
Charity,الصدقة,"To be charitable and give abundantly, generously and consistently without fear of loss"
Salah,الصلاة,"To prioritize Salah (obligatory/voluntary) with calmness, tranquility, and presence throuout the day"
Quran,قراءة القران,To spend quality time with the Quran despite a busy schedule and overwhelming responsibilities
Waking up Early,الاستيقاظ مبكرا,To seize the barakah in the early hours by starting the day early
Lowering the Gaze,غض البصر,To protect your heart by mastering your gaze and not direct your gaze at anything which is unlawful
Controlling the tounge,امساك اللسان,To think before speaking and speak only when speech is better than silence
Helping people,مساعدة الناس,To be consious of people's needs and hsten to lend the helping hand before you are asked
Sending salawat upon the Prophet,الصلاة على النبي ,To send abundant salawat upon the Prophet (PBUH) daily